start_tc,end_tc,start_s,end_s,track_index,track_type,seg_index,material_name,display_name,basename,source_class,speed,volume,scale_x,alpha,extra_refs,material_id,start_us,duration_us
0:09.133,0:11.167,9.133,11.167,7,video,4,hf_20260707_234503_7bb94590-20a2-489c-afdb-5a2305e6c91a 2.MP4,hf_20260707_234503_7bb94590-20a2-489c-afdb-5a2305e6c91a 2.MP4,hf_20260707_234503_7bb94590-20a2-489c-afdb-5a2305e6c91a 2.MP4,legend_hf,1.51,1.0,1.0,0.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,63F200C0-904C-4B08-BBDD-640DB06C5B73,9133333,2033333
0:09.133,0:10.500,9.133,10.5,12,text,6,FIFTEEN OF THEM ENTERED,FIFTEEN OF THEM ENTERED,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,F1F325FB-2197-42F2-B411-8BCFFC601FE7,9133333,1366667
0:09.133,1:28.233,9.133,88.233,16,audio,1,v6_narration.mp3,v6_narration.mp3,v6_narration.mp3,staged_audio,1.01,0.6582304239273071,,,speeds:speed,507D0417-9226-4069-850E-C08FE6FD4507,9133333,79100000
0:09.267,0:11.167,9.267,11.167,13,audio,0,Glitching Signal Glitch Futuristic Effect 2,Glitching Signal Glitch Futuristic Effect 2,8625df645137a82e2e310890f9471d82.mp3,capcut_stock,1.0,0.1822071671485901,,,speeds:speed,D594992D-895F-4DB6-AA73-DEC76E037482,9266666,1900000
0:10.233,0:18.200,10.233,18.2,17,audio,1,Cinematic Whoosh Hit Low 2,Cinematic Whoosh Hit Low 2,ec26041d833dd78bc1a88eb9eca84b71.mp3,capcut_stock,1.0,0.509760320186615,,,speeds:speed,83599EBF-C93F-4EE6-B8D4-6EDE31D41C46,10233333,7966667
0:10.700,0:12.067,10.7,12.067,9,video,2,648FD450-3CA8-4DB0-A398-CBCC1C3436D9.PNG,648FD450-3CA8-4DB0-A398-CBCC1C3436D9.PNG,648FD450-3CA8-4DB0-A398-CBCC1C3436D9.PNG,legend_still,1.0,1.0,0.9336916576194952,1.0,speeds:speed | transitions:Scanline Compression | canvases:canvas_color | material_animations:sticker_animation,5BF97391-3105-4679-A3DF-82E548C68ED4,10700000,1366666
0:12.067,0:14.667,12.067,14.667,9,video,3,signature_flyover.mp4,signature_flyover.mp4,signature_flyover.mp4,staged_phaser,2.88,0.0,3.102585604472397,0.51,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,8A21C9EC-E8DE-42F4-9363-F4770995BD65,12066666,2600000
0:12.300,0:12.767,12.3,12.767,12,text,7,SOMEONE IS VOTED OUT,SOMEONE IS VOTED OUT,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,6DBDB6CC-2B95-4D80-B5AC-F19253F4BD3D,12300000,466666
0:12.767,0:13.800,12.767,13.8,12,text,8,IS VOTED OUT,IS VOTED OUT,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,6F1137A3-F946-43D3-BAFD-25772DED410F,12766666,1033334
0:13.800,0:14.833,13.8,14.833,12,text,9,EVERY NIGHT,EVERY NIGHT,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,C5C7AFE3-96B6-4F7C-AC5A-16007C9071D9,13800000,1033333
0:14.300,0:17.533,14.3,17.533,20,audio,0,Horror Trailer Opener,Horror Trailer Opener,a5898644c22b97b2956ec62ae85e0cc2.mp3,capcut_stock,1.0,0.17043063044548035,,,speeds:speed,1A2A71C5-1947-49A8-A071-23B6081B8CC1,14300000,3233333
0:14.667,0:15.300,14.667,15.3,9,video,4,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,legend_hf,1.0,1.0,0.6717886904761908,0.49,speeds:speed | canvases:canvas_color,46F14F4D-C43F-4978-8837-62804B52D6AF,14666666,633334
0:14.667,0:16.600,14.667,16.6,10,video,0,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,legend_hf,1.51,1.0,0.8390502232142858,0.5,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,D126FD63-E4E6-4EE9-8090-57C4723890B2,14666666,1933334
0:14.833,0:16.367,14.833,16.367,12,text,10,UNTIL ONE REMAINS,UNTIL ONE REMAINS,,text,1.0,1.0,1.0,1.0,material_animations:sticker_animation | effects:7360971191827304961,BC5C5D13-307F-4CC5-9442-9172637F045F,14833333,1533333
