start_tc,end_tc,start_s,end_s,track_index,display_name,material_name,resolved_filename,basename,source_class,media_kind,speed,volume,scale_x,alpha,extra_refs,path,material_id
0:10.700,0:12.067,10.7,12.067,9,648FD450-3CA8-4DB0-A398-CBCC1C3436D9.PNG,648FD450-3CA8-4DB0-A398-CBCC1C3436D9.PNG,648FD450-3CA8-4DB0-A398-CBCC1C3436D9.PNG,4d59ef143534d300d520538a6c06d933.PNG,legend_still,photo,1.0,1.0,0.9336916576194952,1.0,speeds:speed | transitions:Scanline Compression | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/4d59ef143534d300d520538a6c06d933.PNG,5BF97391-3105-4679-A3DF-82E548C68ED4
0:12.067,0:14.667,12.067,14.667,9,signature_flyover.mp4,signature_flyover.mp4,signature_flyover.mp4,2406c2e2063ede312de176b41ab0a861.mp4,staged_phaser,video,2.88,0.0,3.102585604472397,0.51,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/2406c2e2063ede312de176b41ab0a861.mp4,8A21C9EC-E8DE-42F4-9363-F4770995BD65
0:14.667,0:15.300,14.667,15.3,9,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,9a206eff4bbd8345ccc972b08835467f.mp4,legend_hf,video,1.0,1.0,0.6717886904761908,0.49,speeds:speed | canvases:canvas_color,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/9a206eff4bbd8345ccc972b08835467f.mp4,46F14F4D-C43F-4978-8837-62804B52D6AF
0:14.667,0:16.600,14.667,16.6,10,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,9a206eff4bbd8345ccc972b08835467f.mp4,legend_hf,video,1.51,1.0,0.8390502232142858,0.5,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/9a206eff4bbd8345ccc972b08835467f.mp4,D126FD63-E4E6-4EE9-8090-57C4723890B2
0:15.300,0:16.600,15.3,16.6,9,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,hf_20260721_210518_e3cbd9ab-4729-4a63-b39e-3371b37d1c41.mp4,9a206eff4bbd8345ccc972b08835467f.mp4,legend_hf,video,1.0,1.0,0.652482142857143,0.49,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/9a206eff4bbd8345ccc972b08835467f.mp4,AA20AB93-A47B-4554-A89B-CB4EDDC91F60
0:17.433,0:20.300,17.433,20.3,9,irene_namecard.png,irene_namecard.png,irene_namecard.png,f9b5db0f17c7f4acde3915825f373b21.png,staged_kit,photo,1.0,1.0,1.178197064989518,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/f9b5db0f17c7f4acde3915825f373b21.png,EFDC87B2-9A77-4CED-B41A-E061C68319A7
0:18.733,0:20.300,18.733,20.3,10,ivan_namecard.png,ivan_namecard.png,ivan_namecard.png,8b5d7d63ad654962b5ad8f6151ae4feb.png,staged_kit,photo,1.0,1.0,1.178197064989518,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/8b5d7d63ad654962b5ad8f6151ae4feb.png,BA46BDF9-D6A0-4F69-954D-A6F80A361439
0:20.333,0:22.233,20.333,22.233,1,hf_20260721_213332_a8ad8e8d-3160-41a8-be5c-4578f6ccc2bb.mp4,hf_20260721_213332_a8ad8e8d-3160-41a8-be5c-4578f6ccc2bb.mp4,hf_20260721_213332_a8ad8e8d-3160-41a8-be5c-4578f6ccc2bb.mp4,f97ad19874a376c7be44a65aae57b7c7.mp4,legend_hf,video,1.0,1.0,1.4226198060482529,0.78,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/f97ad19874a376c7be44a65aae57b7c7.mp4,964FC8BC-74A5-482B-A529-71ADA3DD64DC
0:22.233,0:23.733,22.233,23.733,7,B1B40450-11F2-497D-AA63-BE33285A0C33.PNG,B1B40450-11F2-497D-AA63-BE33285A0C33.PNG,B1B40450-11F2-497D-AA63-BE33285A0C33.PNG,5ad60df93cd9fdd4f81ecdc0d1357a12.PNG,legend_still,photo,1.0,1.0,1.076483630952381,1.0,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/5ad60df93cd9fdd4f81ecdc0d1357a12.PNG,EEF8B340-5FDE-42EA-BD64-05985F54C49A
0:23.733,0:29.667,23.733,29.667,0,Screenshot 2026-07-20 at 9.20.16 PM.png,Screenshot 2026-07-20 at 9.20.16 PM.png,Screenshot 2026-07-20 at 9.20.16 PM.png,ecf58f0535685422aff9ab6270e5acbb.png,legend_still,photo,1.0,1.0,2.2103013113002015,0.71,speeds:speed | canvases:canvas_color | material_animations:sticker_animation,##_draftpath_placeholder_0E685133-18CE-45ED-8CB8-2904A212EC80_##/Resources/local/ecf58f0535685422aff9ab6270e5acbb.png,D041D824-17C7-4162-9374-4CB013F0A45E
